"Comment","Designator","Footprint","LCSC Part #"
"33nF","C1","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C1739"
"10µF","C2","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C15850"
"10µF 25V","C3,C5,C6","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C15850"
"680pF 50V","C4","R_0805_2012Metric","C53150"
"100nF 50V","C7,C8","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C49678"
"1µF 50V","C9,C10","C_1206_3216Metric","C1848"
"SS210","D1","D_SMA","C14996"
"500mA 300mΩ","FB1,FB2,FB3","L_0805_2012Metric_Pad1.05x1.20mm_HandSolder","C1017"
"Raspberry_Pi_Header","J1","PinSocket_2x20_P2.54mm_Vertical","C2977589"
"Raspberry_Pi_TV_Header","J2","PinSocket_2x02_P2.54mm_Vertical","C2977590"
"Backplane Bottom","J4","PinSocket_1x08_P2.54mm_Horizontal","C2833721"
"Backplane Passthru","J5","PinHeader_1x08_P2.54mm_Horizontal","C2833322"
"470uH 240mA","L1","L_7.3x7.3_H3.5","C718275"
"270R","R1","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17590"
"75R","R2,R3","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C20638"
"150R","R4","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17471"
"180R","R5","R_0805_2012Metric","C25270"
"2R","R6","R_0805_2012Metric","C17606"
"62k","R7","R_0805_2012Metric","C17783"
"2.7k","R8","R_0805_2012Metric","C17530"
"MC34063AD","U3","SOIC-8_3.9x4.9mm_P1.27mm","C32078"
