Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,33nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,120.015000,-26.035000,-90.000000,top
C2,10µF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,118.237000,-22.733000,180.000000,top
C3,10µF 25V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,132.842000,-54.356000,90.000000,top
C4,680pF 50V,R_0805_2012Metric,122.682000,-53.213000,90.000000,top
C5,10µF 25V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,117.348000,-30.607000,-90.000000,top
C6,10µF 25V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,122.555000,-35.433000,90.000000,top
C7,100nF 50V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,119.507000,-30.607000,-90.000000,top
C8,100nF 50V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,120.523000,-35.433000,90.000000,top
C9,1µF 50V,C_1206_3216Metric,120.523000,-41.783000,0.000000,top
C10,1µF 50V,C_1206_3216Metric,120.523000,-39.243000,0.000000,top
D1,SS210,D_SMA,121.666000,-46.609000,90.000000,top
FB1,500mA 300mΩ,L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,122.428000,-29.591000,180.000000,top
FB2,500mA 300mΩ,L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,125.603000,-36.449000,180.000000,top
FB3,500mA 300mΩ,L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,117.221000,-40.005000,90.000000,top
H1,MountingHole,ToolingHole_JLCSMT,186.500000,-57.800000,0.000000,top
H2,MountingHole,ToolingHole_JLCSMT,101.300000,-17.100000,0.000000,top
J1,Raspberry_Pi_Header,PinSocket_2x20_P2.54mm_Vertical,178.161000,-24.531000,-90.000000,top
J2,Raspberry_Pi_TV_Header,PinSocket_2x02_P2.54mm_Vertical,132.441000,-29.611000,-90.000000,top
J3,FTDI_UART,PinHeader_1x06_P2.54mm_Vertical,184.150000,-15.240000,-90.000000,top
J4,Backplane Bottom,PinSocket_1x08_P2.54mm_Horizontal,149.352000,-49.276000,90.000000,top
J5,Backplane Passthru,PinHeader_1x08_P2.54mm_Horizontal,149.352000,-15.240000,90.000000,top
L1,470uH 240mA,L_7.3x7.3_H3.5,128.651000,-44.831000,0.000000,top
R1,270R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,123.317000,-25.019000,180.000000,top
R2,75R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,118.364000,-20.066000,180.000000,top
R3,75R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,117.348000,-16.764000,-90.000000,top
R4,150R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,117.475000,-26.035000,90.000000,top
R5,180R,R_0805_2012Metric,132.842000,-50.673000,-90.000000,top
R6,2R,R_0805_2012Metric,134.874000,-52.451000,90.000000,top
R7,62k,R_0805_2012Metric,126.261500,-55.499000,180.000000,top
R8,2.7k,R_0805_2012Metric,129.817500,-55.499000,180.000000,top
TP1,USB OTG Pins,PinHeader_1x02_P2.54mm_Vertical,145.201000,-52.451000,-90.000000,top
U1,MDLP3W104A,ALPS_MDLP3W104A,107.530000,-36.830000,90.000000,top
U2,RaspberryPi_Zero_Dummy,RaspberryPiZero_Dummy,153.396000,-34.691000,180.000000,top
U3,MC34063AD,SOIC-8_3.9x4.9mm_P1.27mm,128.016000,-51.689000,270.000000,top
